ax,ay,az,gx,gy,gz,mx,my,mz
0.229855,-0.186757,-8.844632,-0.000277,-0.000509,0.000164,-30.368494,-7.192384,34.901806
0.229855,-0.186757,-8.844632,-0.000277,-0.000509,0.000164,-30.368494,-7.192384,34.901806
0.220278,-0.186757,-8.835054,-0.000144,0.000956,0.000696,-30.368494,-7.192384,34.901806
0.220278,-0.186757,-8.835054,-0.000144,0.000956,0.000696,-30.368494,-7.192384,34.901806
0.220278,-0.196335,-8.858997,-0.000676,0.000557,-0.000635,-29.475304,-7.731813,33.346775
0.244221,-0.196335,-8.835054,0.000256,0.000423,-0.000103,-29.475304,-7.731813,33.346775
0.244221,-0.196335,-8.835054,0.000256,0.000423,-0.000103,-29.475304,-7.731813,33.346775
0.234644,-0.191546,-8.844632,0.000389,-0.000642,-0.000369,-29.475304,-7.731813,33.346775
0.234644,-0.191546,-8.844632,0.000389,-0.000642,-0.000369,-29.475304,-7.731813,33.346775
0.239432,-0.191546,-8.820688,-0.000144,-0.000775,-0.000103,-29.475304,-7.731813,33.346775
0.239432,-0.191546,-8.820688,-0.000144,-0.000775,-0.000103,-29.475304,-7.731813,33.346775
0.234644,-0.177180,-8.839843,-0.001342,0.000024,0.000430,-29.475304,-7.731813,33.346775
0.234644,-0.177180,-8.839843,-0.001342,0.000024,0.000430,-29.475304,-7.731813,33.346775
0.225066,-0.196335,-8.820688,-0.000543,0.000024,0.000297,-29.475304,-7.731813,33.346775
0.225066,-0.196335,-8.820688,-0.000543,0.000024,0.000297,-29.475304,-7.731813,33.346775
0.225066,-0.201123,-8.844632,0.000256,-0.000109,-0.000369,-30.189857,-6.293336,36.111275
0.225066,-0.201123,-8.844632,0.000256,-0.000109,-0.000369,-30.189857,-6.293336,36.111275
0.229855,-0.191546,-8.835054,0.000788,0.000690,0.000963,-30.189857,-6.293336,36.111275
0.234644,-0.186757,-8.835054,-0.000011,0.000157,-0.000236,-30.189857,-6.293336,36.111275
0.234644,-0.186757,-8.835054,-0.000011,0.000157,-0.000236,-30.189857,-6.293336,36.111275
0.234644,-0.191546,-8.839843,-0.000543,0.000024,0.000563,-30.189857,-6.293336,36.111275
0.234644,-0.191546,-8.839843,-0.000543,0.000024,0.000563,-30.189857,-6.293336,36.111275
0.229855,-0.191546,-8.820688,-0.000410,0.000690,0.000696,-30.189857,-6.293336,36.111275
0.229855,-0.191546,-8.820688,-0.000410,0.000690,0.000696,-30.189857,-6.293336,36.111275
0.244221,-0.215489,-8.820688,-0.000410,0.000690,0.000430,-30.189857,-6.293336,36.111275
0.244221,-0.215489,-8.820688,-0.000410,0.000690,0.000430,-30.189857,-6.293336,36.111275
0.229855,-0.196335,-8.839843,0.000123,0.000290,0.000297,-31.083048,-6.473145,34.556244
0.229855,-0.196335,-8.839843,0.000123,0.000290,0.000297,-31.083048,-6.473145,34.556244
0.229855,-0.205912,-8.839843,0.000123,0.000290,0.000164,-31.083048,-6.473145,34.556244
